STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,,INDICATOR,,MEASURE,,INEQUALITY,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUT,,JE_LMIS,,L,,TOT,,2.3,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,BEL,,JE_LMIS,,L,,TOT,,2.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CAN,,JE_LMIS,,L,,TOT,,3.8,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CZE,,JE_LMIS,,L,,TOT,,2.3,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DNK,,JE_LMIS,,L,,TOT,,4.5,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FIN,,JE_LMIS,,L,,TOT,,2.2,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FRA,,JE_LMIS,,L,,TOT,,3.1,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DEU,,JE_LMIS,,L,,TOT,,1.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GRC,,JE_LMIS,,L,,TOT,,21.7,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,HUN,,JE_LMIS,,L,,TOT,,3.8,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ISL,,JE_LMIS,,L,,TOT,,1,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,IRL,,JE_LMIS,,L,,TOT,,2.6,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ITA,,JE_LMIS,,L,,TOT,,8.6,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,JPN,,JE_LMIS,,L,,TOT,,2.7,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,KOR,,JE_LMIS,,L,,TOT,,2.9,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LUX,,JE_LMIS,,L,,TOT,,2.2,,A,,PC,,0,,,
