Country,Life_satisfaction,Year,GDP_per_capita
Australia,7.1,2021,58327.414
Australia,7.1,2021,58327.414
Australia,7.2,2021,58327.414
Australia,7.4,2021,58327.414
Australia,7.0,2021,58327.414
Australia,7.1,2022,60029.133
Australia,7.1,2022,60029.133
Australia,7.2,2022,60029.133
Australia,7.4,2022,60029.133
Australia,7.0,2022,60029.133
Australia,7.1,2023,60684.96
Australia,7.1,2023,60684.96
Australia,7.2,2023,60684.96
Australia,7.4,2023,60684.96
Australia,7.0,2023,60684.96
Australia,7.1,2024,60303.98
Australia,7.1,2024,60303.98
Australia,7.2,2024,60303.98
Australia,7.4,2024,60303.98
Australia,7.0,2024,60303.98
Austria,7.2,2021,62968.94
Austria,7.1,2021,62968.94
Austria,7.3,2021,62968.94
Austria,7.6,2021,62968.94
Austria,7.2,2021,62968.94
Austria,7.2,2022,65694.555
Austria,7.1,2022,65694.555
Austria,7.3,2022,65694.555
Austria,7.6,2022,65694.555
Austria,7.2,2022,65694.555
Austria,7.2,2023,64536.297
Austria,7.1,2023,64536.297
Austria,7.3,2023,64536.297
Austria,7.6,2023,64536.297
Austria,7.2,2023,64536.297
Austria,7.2,2024,63788.08
Austria,7.1,2024,63788.08
Austria,7.3,2024,63788.08
Austria,7.6,2024,63788.08
Austria,7.2,2024,63788.08
Belgium,6.8,2021,60669.215
Belgium,6.9,2021,60669.215
Belgium,6.8,2021,60669.215
Belgium,7.2,2021,60669.215
Belgium,6.7,2021,60669.215
Belgium,6.8,2022,62561.78
Belgium,6.9,2022,62561.78
Belgium,6.8,2022,62561.78
Belgium,7.2,2022,62561.78
Belgium,6.7,2022,62561.78
Belgium,6.8,2023,63095.402
Belgium,6.9,2023,63095.402
Belgium,6.8,2023,63095.402
Belgium,7.2,2023,63095.402
Belgium,6.7,2023,63095.402
Belgium,6.8,2024,63347.785
Belgium,6.9,2024,63347.785
Belgium,6.8,2024,63347.785
Belgium,7.2,2024,63347.785
Belgium,6.7,2024,63347.785
Brazil,6.1,2021,18075.705
Brazil,6.2,2021,18075.705
Brazil,6.0,2021,18075.705
Brazil,6.9,2021,18075.705
Brazil,6.4,2021,18075.705
Brazil,6.1,2022,18554.047
Brazil,6.2,2022,18554.047
Brazil,6.0,2022,18554.047
Brazil,6.9,2022,18554.047
Brazil,6.4,2022,18554.047
Brazil,6.1,2023,19079.812
Brazil,6.2,2023,19079.812
Brazil,6.0,2023,19079.812
Brazil,6.9,2023,19079.812
Brazil,6.4,2023,19079.812
Brazil,6.1,2024,19652.365
Brazil,6.2,2024,19652.365
Brazil,6.0,2024,19652.365
Brazil,6.9,2024,19652.365
Brazil,6.4,2024,19652.365
Canada,7.0,2021,56995.117
Canada,7.0,2021,56995.117
Canada,7.0,2021,56995.117
Canada,7.3,2021,56995.117
Canada,6.9,2021,56995.117
Canada,7.0,2022,58321.062
Canada,7.0,2022,58321.062
Canada,7.0,2022,58321.062
Canada,7.3,2022,58321.062
Canada,6.9,2022,58321.062
Canada,7.0,2023,57517.44
Canada,7.0,2023,57517.44
Canada,7.0,2023,57517.44
Canada,7.3,2023,57517.44
Canada,6.9,2023,57517.44
Canada,7.0,2024,56706.824
Canada,7.0,2024,56706.824
Canada,7.0,2024,56706.824
Canada,7.3,2024,56706.824
Canada,6.9,2024,56706.824
Chile,6.2,2021,29089.85
Chile,6.2,2021,29089.85
Chile,6.1,2021,29089.85
Chile,6.9,2021,29089.85
Chile,6.1,2021,29089.85
Chile,6.2,2022,29569.479
Chile,6.2,2022,29569.479
Chile,6.1,2022,29569.479
Chile,6.9,2022,29569.479
Chile,6.1,2022,29569.479
Chile,6.2,2023,29563.678
Chile,6.2,2023,29563.678
Chile,6.1,2023,29563.678
Chile,6.9,2023,29563.678
Chile,6.1,2023,29563.678
Chile,6.2,2024,30182.787
Chile,6.2,2024,30182.787
Chile,6.1,2024,30182.787
Chile,6.9,2024,30182.787
Chile,6.1,2024,30182.787
Colombia,5.7,2021,17383.09
Colombia,5.7,2021,17383.09
Colombia,5.7,2021,17383.09
Colombia,7.1,2021,17383.09
Colombia,5.7,2021,17383.09
Colombia,5.7,2022,18458.72
Colombia,5.7,2022,18458.72
Colombia,5.7,2022,18458.72
Colombia,7.1,2022,18458.72
Colombia,5.7,2022,18458.72
Colombia,5.7,2023,18382.998
Colombia,5.7,2023,18382.998
Colombia,5.7,2023,18382.998
Colombia,7.1,2023,18382.998
Colombia,5.7,2023,18382.998
Colombia,5.7,2024,18477.215
Colombia,5.7,2024,18477.215
Colombia,5.7,2024,18477.215
Colombia,7.1,2024,18477.215
Colombia,5.7,2024,18477.215
Costa Rica,6.3,2021,23852.926
Costa Rica,6.2,2021,23852.926
Costa Rica,6.5,2021,23852.926
Costa Rica,7.1,2021,23852.926
Costa Rica,6.5,2021,23852.926
Costa Rica,6.3,2022,24831.719
Costa Rica,6.2,2022,24831.719
Costa Rica,6.5,2022,24831.719
Costa Rica,7.1,2022,24831.719
Costa Rica,6.5,2022,24831.719
Costa Rica,6.3,2023,25979.629
Costa Rica,6.2,2023,25979.629
Costa Rica,6.5,2023,25979.629
Costa Rica,7.1,2023,25979.629
Costa Rica,6.5,2023,25979.629
Costa Rica,6.3,2024,26973.436
Costa Rica,6.2,2024,26973.436
Costa Rica,6.5,2024,26973.436
Costa Rica,7.1,2024,26973.436
Costa Rica,6.5,2024,26973.436
Czechia,6.9,2021,47796.035
Czechia,6.9,2021,47796.035
Czechia,6.9,2021,47796.035
Czechia,7.6,2021,47796.035
Czechia,6.9,2021,47796.035
Czechia,6.9,2022,48390.66
Czechia,6.9,2022,48390.66
Czechia,6.9,2022,48390.66
Czechia,7.6,2022,48390.66
Czechia,6.9,2022,48390.66
Czechia,6.9,2023,47558.41
Czechia,6.9,2023,47558.41
Czechia,6.9,2023,47558.41
Czechia,7.6,2023,47558.41
Czechia,6.9,2023,47558.41
Czechia,6.9,2024,47963.9
Czechia,6.9,2024,47963.9
Czechia,6.9,2024,47963.9
Czechia,7.6,2024,47963.9
Czechia,6.9,2024,47963.9
Denmark,7.5,2021,69715.18
Denmark,7.4,2021,69715.18
Denmark,7.6,2021,69715.18
Denmark,7.6,2021,69715.18
Denmark,7.5,2021,69715.18
Denmark,7.5,2022,69475.32
Denmark,7.4,2022,69475.32
Denmark,7.6,2022,69475.32
Denmark,7.6,2022,69475.32
Denmark,7.5,2022,69475.32
Denmark,7.5,2023,69379.22
Denmark,7.4,2023,69379.22
Denmark,7.6,2023,69379.22
Denmark,7.6,2023,69379.22
Denmark,7.5,2023,69379.22
Denmark,7.5,2024,71431.29
Denmark,7.4,2024,71431.29
Denmark,7.6,2024,71431.29
Denmark,7.6,2024,71431.29
Denmark,7.5,2024,71431.29
Estonia,6.5,2021,44251.54
Estonia,6.3,2021,44251.54
Estonia,6.6,2021,44251.54
Estonia,7.0,2021,44251.54
Estonia,6.1,2021,44251.54
Estonia,6.5,2022,43128.633
Estonia,6.3,2022,43128.633
Estonia,6.6,2022,43128.633
Estonia,7.0,2022,43128.633
Estonia,6.1,2022,43128.633
Estonia,6.5,2023,41288.617
Estonia,6.3,2023,41288.617
Estonia,6.6,2023,41288.617
Estonia,7.0,2023,41288.617
Estonia,6.1,2023,41288.617
Estonia,6.5,2024,41189.668
Estonia,6.3,2024,41189.668
Estonia,6.6,2024,41189.668
Estonia,7.0,2024,41189.668
Estonia,6.1,2024,41189.668
Finland,7.9,2021,56790.375
Finland,7.7,2021,56790.375
Finland,8.1,2021,56790.375
Finland,8.5,2021,56790.375
Finland,7.9,2021,56790.375
Finland,7.9,2022,57068.305
Finland,7.7,2022,57068.305
Finland,8.1,2022,57068.305
Finland,8.5,2022,57068.305
Finland,7.9,2022,57068.305
Finland,7.9,2023,56250.88
Finland,7.7,2023,56250.88
Finland,8.1,2023,56250.88
Finland,8.5,2023,56250.88
Finland,7.9,2023,56250.88
Finland,7.9,2024,56123.15
Finland,7.7,2024,56123.15
Finland,8.1,2024,56123.15
Finland,8.5,2024,56123.15
Finland,7.9,2024,56123.15
France,6.7,2021,52517.336
France,6.8,2021,52517.336
France,6.7,2021,52517.336
France,7.0,2021,52517.336
France,6.7,2021,52517.336
France,6.7,2022,53673.812
France,6.8,2022,53673.812
France,6.7,2022,53673.812
France,7.0,2022,53673.812
France,6.7,2022,53673.812
France,6.7,2023,54296.723
France,6.8,2023,54296.723
France,6.7,2023,54296.723
France,7.0,2023,54296.723
France,6.7,2023,54296.723
France,6.7,2024,54799.348
France,6.8,2024,54799.348
France,6.7,2024,54799.348
France,7.0,2024,54799.348
France,6.7,2024,54799.348
Germany,7.3,2021,62530.766
Germany,7.4,2021,62530.766
Germany,7.3,2021,62530.766
Germany,7.8,2021,62530.766
Germany,7.2,2021,62530.766
Germany,7.3,2022,63676.086
Germany,7.4,2022,63676.086
Germany,7.3,2022,63676.086
Germany,7.8,2022,63676.086
Germany,7.2,2022,63676.086
